playerID,yearID,stint,teamID,lgID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,nameGiven,masterID
beltrad01,2013,1,TEX,AL,161,631,88,199,32,0,30,92,1,0,50,78,12,7,0,2,17,Adrian,beltrad01-2013-TEX
beltrca01,2013,1,SLN,NL,145,554,79,164,30,3,24,84,2,1,38,90,1,1,1,6,12,Carlos Ivan,beltrca01-2013-SLN
berkmla01,2013,1,TEX,AL,73,256,27,62,10,1,6,34,0,0,38,52,3,0,0,0,7,William Lance,berkmla01-2013-TEX
bernaro01,2013,1,WAS,NL,85,152,18,27,6,1,2,6,3,0,12,44,1,2,1,0,4,Rogearvin Argelo,bernaro01-2013-WAS
bernaro01,2013,2,PHI,NL,27,75,8,14,4,1,2,5,1,0,4,21,0,3,1,0,0,Rogearvin Argelo,bernaro01-2013-PHI
bernido01,2013,1,MIN,AL,33,53,9,12,3,0,0,5,2,1,8,15,1,1,2,0,1,Douglas Howell,bernido01-2013-MIN
betanyu01,2013,1,MIL,NL,137,391,35,83,15,1,13,46,0,0,14,71,3,1,0,3,9,Yuniesky,betanyu01-2013-MIL
biancje01,2013,1,MIL,NL,100,236,22,56,8,1,1,25,4,4,11,46,0,1,2,2,4,Jeffrey Thomas,biancje01-2013-MIL
blackch02,2013,1,COL,NL,82,246,35,76,17,2,6,22,7,0,7,49,0,3,2,0,1,Charles Cobb,blackch02-2013-COL
blancgr01,2013,1,SFN,NL,141,452,50,120,17,6,3,41,14,9,52,95,4,1,3,3,10,Gregor Miguel,blancgr01-2013-SFN
blanche01,2013,2,SEA,AL,35,96,8,12,2,0,3,14,0,0,10,26,0,1,0,0,2,Henry Ramon,blanche01-2013-SEA
blankky01,2013,1,SDN,NL,88,280,31,68,14,0,8,35,1,1,21,85,1,5,0,2,2,Kyle Nathaniel,blankky01-2013-SDN
bloomwi01,2013,1,ARI,NL,48,139,16,44,5,1,0,14,0,2,8,11,0,2,0,1,3,William Paul,bloomwi01-2013-ARI
boescbr01,2013,1,NYA,AL,23,51,6,14,2,1,3,8,0,0,2,9,0,0,0,0,2,Brennan Philip,boescbr01-2013-NYA
bogusbr01,2013,1,CHN,NL,47,143,18,39,7,1,6,16,2,0,10,35,1,1,0,1,4,Brian Thomas,bogusbr01-2013-CHN
bonifem01,2013,1,TOR,AL,94,262,33,57,16,1,3,20,12,6,13,66,0,2,3,2,3,Emilio Jose,bonifem01-2013-TOR
bonifem01,2013,2,KCA,AL,42,158,21,45,6,2,0,11,16,2,17,37,0,0,3,1,1,Emilio Jose,bonifem01-2013-KCA
borboju01,2013,2,CHN,NL,72,104,10,21,3,1,1,3,7,1,12,22,0,0,1,0,0,Julio Alberto,borboju01-2013-CHN
bourjpe01,2013,1,LAA,AL,55,175,26,48,3,3,3,12,6,0,10,43,0,6,4,1,8,Peter Christopher,bourjpe01-2013-LAA
bournmi01,2013,1,CLE,AL,130,525,75,138,21,6,6,50,23,12,40,132,0,2,5,3,2,Michael Ray,bournmi01-2013-CLE
bradlja02,2013,1,BOS,AL,37,95,18,18,5,0,3,10,2,0,10,31,0,2,0,0,1,Jackie,bradlja02-2013-BOS
brantmi02,2013,1,CLE,AL,151,556,66,158,26,3,10,73,17,4,40,67,1,4,3,8,11,Michael Charles,brantmi02-2013-CLE
brantro01,2013,1,MIA,NL,67,223,11,47,9,0,1,18,0,0,15,53,1,2,0,3,8,Robert Jacob,brantro01-2013-MIA
braunry02,2013,1,MIL,NL,61,225,30,67,14,2,9,38,4,5,27,56,7,0,0,1,8,Ryan Joseph,braunry02-2013-MIL
brownan02,2013,1,NYN,NL,68,150,16,34,5,0,7,24,1,0,13,44,0,0,2,0,3,Andrew Marshall,brownan02-2013-NYN
browndo01,2013,1,PHI,NL,139,496,65,135,21,4,27,83,8,3,39,97,5,1,0,4,5,Domonic Larun,browndo01-2013-PHI
bruceja01,2013,1,CIN,NL,160,626,89,164,43,1,30,109,7,3,63,185,13,2,0,5,9,Jay Allen,bruceja01-2013-CIN
buckjo01,2013,1,NYN,NL,101,368,38,79,11,0,15,60,2,1,29,99,4,8,0,2,12,Johnathan Richard,buckjo01-2013-NYN
bumgama01,2013,1,SFN,NL,31,56,3,6,0,0,0,4,0,0,5,30,0,0,7,1,1,Madison Kyle,bumgama01-2013-SFN
burneaj01,2013,1,PIT,NL,30,59,1,4,0,0,0,2,0,0,2,33,0,0,6,0,2,Allan James,burneaj01-2013-PIT
butlebi03,2013,1,KCA,AL,162,582,62,168,27,0,15,82,0,0,79,102,11,3,0,4,28,Billy Ray,butlebi03-2013-KCA
byrdma01,2013,1,NYN,NL,117,425,61,121,26,5,21,71,2,4,25,124,2,7,1,6,6,Marlon Jerrard,byrdma01-2013-NYN
byrdma01,2013,2,PIT,NL,30,107,14,34,9,0,3,17,0,0,6,20,0,1,0,1,5,Marlon Jerrard,byrdma01-2013-PIT
cabreas01,2013,1,CLE,AL,136,508,66,123,35,2,14,64,9,3,35,114,1,8,6,5,10,Asdrubal Jose,cabreas01-2013-CLE
cabreev01,2013,1,SDN,NL,95,381,54,108,15,5,4,31,37,12,41,69,0,2,10,1,1,Everth,cabreev01-2013-SDN
cabreme01,2013,1,TOR,AL,88,344,39,96,15,2,3,30,2,2,23,47,0,0,2,3,7,Melky,cabreme01-2013-TOR
cabremi01,2013,1,DET,AL,148,555,103,193,26,1,44,137,3,0,90,94,19,5,0,2,19,Jose Miguel,cabremi01-2013-DET
